Activity ID,date,year,time,name,type,Activity Description,elapsed_time,distance,Relative Effort,Commute,Activity Gear,Filename,day_computed
,Nov 4,,12:32:34 PM,,Ride,,3256,7.55,,,,,309
,Nov 5,,1:28:11 PM,,Ride,,1863,6.32,,,,,310
,Nov 6,,5:56:02 PM,,Ride,,2339,7.76,,,,,311
,Nov 7,,3:05:44 PM,,Ride,,706,3.66,,,,,312
,Nov 8,,12:23:06 PM,,Ride,,2526,7.67,,,,,313
,Nov 12,,11:45:50 AM,,Ride,,2681,7.88,,,,,317
,Nov 13,,2:44:42 PM,,Ride,,506,2.42,,,,,318
,Nov 14,,12:19:13 AM,,Ride,,17988,27.28,,,,,319
,Nov 15,,5:32:19 PM,,Ride,,1716,7.69,,,,,320
,Nov 18,,11:19:21 AM,,Ride,,2210,8.74,,,,,323
,Nov 19,,12:04:49 PM,,Ride,,2027,7.49,,,,,324
,Nov 20,,2:39:23 PM,,Ride,,6454,7.34,,,,,325
,Nov 21,,1:37:18 PM,,Ride,,2940,8.12,,,,,326
,Nov 22,,12:37:33 PM,,Ride,,2194,8.02,,,,,327
,Nov 25,,12:12:12 PM,,Ride,,3778,9.86,,,,,330
,Nov 26,,1:07:21 PM,,Ride,,1609,7.64,,,,,331
,Nov 27,,12:44:19 PM,,Ride,,1938,7.7,,,,,332
,Dec 5,,12:39:03 PM,,Ride,,3797,8.81,,,,,340
,Dec 6,,12:48:22 PM,,Ride,,1500,6.28,,,,,341
,Dec 9,,12:37:10 PM,,Ride,,1485,7.14,,,,,344
,Dec 10,,2:14:18 PM,,Ride,,749,3.62,,,,,345
,Dec 11,,1:10:13 AM,,Ride,,1380,5.63,,,,,346
,Dec 12,,1:46:22 PM,,Ride,,2315,7.62,,,,,347
,Dec 13,,3:35:44 PM,,Ride,,1523,7.59,,,,,348
,Dec 16,,12:19:45 PM,,Ride,,3736,8.35,,,,,351
,Dec 17,,5:15:26 PM,,Ride,,900,2.41,,,,,352
,Dec 18,,12:50:01 AM,,Ride,,900,2.73,,,,,353
,Dec 19,,1:50:27 PM,,Ride,,1905,7.51,,,,,354
,Dec 20,,12:19:45 PM,,Ride,,4900,7.7,,,,,355
,Dec 23,,5:58:24 PM,,Ride,,4017,6.57,,,,,358
,Dec 24,,6:59:26 PM,,Ride,,1202,2.9,,,,,359
